Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lmes	467	6.80376129285984e-247	1	461	4	465	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lot	468	3.3138927173956833e-246	1	461	4	465	1.0	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lpab	472	1.3624571391533476e-234	2	460	10	470	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lpah	474	1.3360354635947278e-231	2	460	11	471	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lpap	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lpi	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lpq	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lpq_1	474	2.286703234385552e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lpw	475	6.430359849943372e-223	1	460	10	473	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lpw_1	475	1.1314760961041959e-228	1	460	5	468	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lra	474	8.96776079208571e-231	2	460	11	471	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lra_1	474	1.0353814723589204e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lrc	474	8.96776079208571e-231	2	460	11	471	0.9956616052060736	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lrc_1	474	1.0353814723589204e-228	1	460	4	469	0.9978308026030368	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lrg	235	1.351098617272071e-101	238	460	2	230	0.4837310195227766	dbCAN-sub
GH1_e65	GH1:2301	3.2.1.85:20	beta-galactan	461	lrh	235	1.351098617272071e-101	238	460	2	230	0.4837310195227766	dbCAN-sub
